"object_category_Id";"ID";"Name";"AdmArea";"District";"Address";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"object_category_Id";"Код";"Наименование";"Административный округ";"Район";"Адрес";"Долгота в WGS-84";"Широта в WGS-84";"global_id";"geodata_center";"geoarea";
"";"506";"Станция №296, 22 кВт";"Юго-Восточный административный округ";"район Лефортово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 4, корпус 2";"37.7138";"55.7603";"2566668091";"";"";
"";"528";"Станция №297, 22 кВт";"Восточный административный округ";"район Перово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, улица Плеханова, дом 26, корпус 1";"37.768373";"55.740912";"2566668092";"";"";
"";"507";"Станция №298, 22 кВт";"Центральный административный округ";"Красносельский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Даев переулок, дом 14";"37.637516";"55.770014";"2566668093";"";"";
"";"572";"Станция №299, 22 кВт";"Юго-Западный административный округ";"Ломоносовский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, улица Академика Пилюгина, дом 18";"37.53384";"55.668452";"2566668094";"";"";
"";"532";"Станция №300, 22 кВт";"Центральный административный округ";"район Якиманка";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Берсеневская набережная, дом 18-20-22, строение 2";"37.610572";"55.744757";"2566668095";"";"";
"";"434";"Станция №302, 22 кВт";"Центральный административный округ";"Мещанский район";"город Москва, проспект Мира, дом 26, строение 1";"37.635694";"55.777143";"2566668097";"";"";
"";"566";"Станция №313, 50 кВт";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Леонтьевский переулок, дом 22";"37.606863";"55.760883";"2566668098";"";"";
"";"533";"Станция №314, 50 кВт";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Леонтьевский переулок, дом 22";"37.607";"55.76099";"2566668099";"";"";
"";"469";"Станция №318, 22 кВт";"Западный административный округ";"район Фили-Давыдково";"город Москва, Кременчугская улица, дом 5, корпус 1";"37.46197";"55.72214";"2566668100";"";"";
"";"555";"Станция №321, 50 кВт";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Хованская улица, дом 18";"37.622983";"55.827112";"2566668101";"";"";
"";"560";"Станция №322, 22 кВт";"Южный административный округ";"район Бирюлёво Восточное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 20";"37.672406";"55.593619";"2566668102";"";"";
"";"573";"Станция №327, 22 кВт";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Хованская улица, дом 22, строение 2";"37.623075";"55.82943";"2566668103";"";"";
"";"444";"Станция №331, 22 кВт";"Юго-Западный административный округ";"район Зюзино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Одесская улица, дом 6, строение 4";"37.595101";"55.660125";"2566668105";"";"";
"";"477";"Станция №345, 22 кВт";"Северо-Западный административный округ";"район Митино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Дубравная улица, дом 35";"37.357742";"55.84459";"2566668110";"";"";
"";"446";"Станция №350, 50 кВт";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Вересаева, дом 10";"37.44502";"55.71952";"2566668111";"";"";
"";"447";"Станция №354, 50 кВт";"Центральный административный округ";"район Хамовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, 1-й Вражский переулок, дом 4";"37.57386";"55.739869";"2566668112";"";"";
"";"549";"Станция №355, 22 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Гиляровского, дом 6, строение 2";"37.630409";"55.77517";"2566668113";"";"";
"";"471";"Станция №357, 50 кВт";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 28";"37.53865";"55.75592";"2566668114";"";"";
"";"574";"Станция №359, 22 кВт";"Юго-Восточный административный округ";"район Марьино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Братиславская улица, дом 1";"37.753437";"55.666607";"2566668115";"";"";
"";"451";"Станция №364, 22 кВт";"Восточный административный округ";"район Соколиная Гора";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Фортунатовская улица, дом 31/35";"37.73876";"55.78561";"2566668116";"";"";
"";"465";"Станция №365, 50 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Большой Сухаревский переулок, дом 24";"37.63048";"55.77072";"2566668117";"";"";
